frame	video	movie	director	score	genre_action	genre_adventure	genre_animation	genre_comedy	genre_crime	genre_drama	genre_fantasy	genre_horror	genre_musical	genre_mystery	genre_romance	genre_thriller	genre_war
scene-ringu-032-frame-005.png	scene-ringu-032.mp4	ringu	Hideo Nakata	50.038315000000004	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-002.png	scene-ringu-032.mp4	ringu	Hideo Nakata	39.041714	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-021.png	scene-ringu-032.mp4	ringu	Hideo Nakata	0.6018465000000001	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-013.png	scene-ringu-032.mp4	ringu	Hideo Nakata	10.333842	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-014.png	scene-ringu-032.mp4	ringu	Hideo Nakata	27.647608	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-003.png	scene-ringu-032.mp4	ringu	Hideo Nakata	38.2589	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-004.png	scene-ringu-032.mp4	ringu	Hideo Nakata	35.047665	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-015.png	scene-ringu-032.mp4	ringu	Hideo Nakata	11.824124000000001	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-012.png	scene-ringu-032.mp4	ringu	Hideo Nakata	14.287654999999999	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-020.png	scene-ringu-032.mp4	ringu	Hideo Nakata	0.8907273000000001	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-011.png	scene-ringu-032.mp4	ringu	Hideo Nakata	7.3075924	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-016.png	scene-ringu-032.mp4	ringu	Hideo Nakata	4.1579685	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-018.png	scene-ringu-032.mp4	ringu	Hideo Nakata	15.236975	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-023.png	scene-ringu-032.mp4	ringu	Hideo Nakata	12.888819	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-024.png	scene-ringu-032.mp4	ringu	Hideo Nakata	43.154340000000005	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-009.png	scene-ringu-032.mp4	ringu	Hideo Nakata	13.952295999999999	0	0	0	0	0	0	0	1	0	1	0	0	0
scene-ringu-032-frame-007.png	scene-ringu-032.mp4	ringu	Hideo Nakata	16.27916	0	0	0	0	0	0	0	1	0	1	0	0	0
